date,name,desc
2016-05-09,THE ENIGMA RANSOMWARE SURFACES,Targets Russian-speaking victims. Appends the .enigma extension. Creates the enigma_encr.txt ransom note.
2016-05-09,CRYPTXXX 2.0 EDITION,Kaspersky\u2019s free decryptor defeated. Concatenates the .crypt extension. Ransom notes named after victim ID.
2016-05-10,SHUJIN RANSOMWARE SPREADING IN CHINA,Zeroes in on Chinese victims only. Very complex decryption routine. Uses the \u6587\u4ef6\u89e3\u5bc6\u5e2e\u52a9.txt ransom note.
2016-05-11,GNL LOCKER (GERMAN NETHERLANDS LOCKER),Targets German and Dutch users. Adds the .locked extension. UNLOCK_FILES_INSTRUCTIONS.txt manual.
2016-05-12,"CRYPTOHITMAN, A JIGSAW RANSOMWARE SPINOFF",Hitman video game themed. Appends the .porno extension and uses X-rated images on warning screen.
2016-05-12,CRYPREN RANSOMWARE DISTRIBUTION UPTICK,Uses the .encrypted extension and drops READ_THIS_TO_DECRYPT.html help manual. Decryptable for free.
2016-05-12,PETYA RANSOMWARE GOES WITH THE MISCHA BUNDLE,"If the MBR-overwriting Petya fails to get admin privileges, it installs Mischa, a typical file-encrypting Trojan."
2016-05-13,PETYA AND MISCHA COMBO AS PART OF A RAAS,Ransomware-as-a-Service platform launched allowing crooks to spread Petya and Mischa on an affiliate basis.
2016-05-13,CRYPTXXX 2.0 CRACKED,"Kaspersky Lab updated their free decryptor for CryptXXX ransomware, version 2.0 now covered."
2016-05-14,8LOCK8 RANSOMWARE DISCOVERED,New sample. Adds the .8lock8 extension and creates READ_IT.txt ransom notes. Interaction over email.
2016-05-16,SHADE RANSOMWARE UPDATE,New variant of the Shade aka Troldesh ransomware uses the .da_vinci_code extension to stain locked files.
2016-05-16,FREE DECRYPTOR FOR GHOSTCRYPT AVAILABLE,"GhostCrypt ransomware (.Z81928819 extension, READ_THIS_FILE.txt ransom note) decrypted by researchers."
2016-05-16,SNSLOCKER HITS THE HEADLINES,"New strain. Leverages AES cipher, appends the .RSNSlocked extension and demands $300 worth of Bitcoin."
2016-05-17,XORIST RANSOMWARE LINEAGE DECRYPTED,Decryptor for the Xorist family released by Emsisoft. Requires one encrypted file and its original copy.
2016-05-17,777 RANSOMWARE FAIL,Appends the ._[timestamp]_$[email]$.777 extension. Decrypted by Emsisoft\u2019s Fabian Wosar.
2016-05-18,NEW ZYKLON LOCKER IN ROTATION,A GNL Locker spinoff. Uses the .locked extension and drops UNLOCK_FILES_INSTRUCTIONS.html/txt manuals.
2016-05-19,THE END OF TESLACRYPT: MASTER KEY RELEASED,TeslaCrypt ransomware authors close the project and release the Master Decryption Key.
2016-05-19,WEBSITE-ENCRYPTING RANSOMWARE,New infection exploiting Drupal vulnerability. About 400 sites affected. Demands 1.4 BTC to decrypt content.
2016-05-20,DMA LOCKER 4.0 DISCOVERED,Doesn\u2019t modify filenames. Creates Cryptinfo.txt ransom manual and extorts 1.5 BTC.
2016-05-21,CRYPTXXX UPDATED TO VERSION 3.0,Crypto flaw patched. Kaspersky\u2019s decryptor no longer capable of restoring files.
2016-05-22,TESLACRYPT DEVS RECOMMEND A RESEARCHER’S TOOL,Crooks provide a link to expert-tailored decoder on Tor payment site for the defunct TeslaCrypt.
2016-05-22,ODCODC: NEW RANSOMWARE ON THE TABLE,File renaming format as follows: [attacker\u2019s_email]-[original_filename].odcodc. Not decryptable for free.
2016-05-24,ZCRYPT SPREADS VIA USB AND NETWORK SHARES,New one. Appends the .zcrypt string. Propagates over autorun.inf files on memory sticks and network drives.
2016-05-24,ZYKLON RANSOMWARE SWITCHES TO APROPOS EXTENSION,New Zyklon edition switches from the .locked extension to .zyklon string. No more changes made.
2016-05-24,BADBLOCK IS ON THE BLOCK,New BadBlock ransomware doesn\u2019t append any extension to files. Ransom size is 2 BTC.
2016-05-26,INVISIBLE EMPIRE THEMED TROJAN,Another Jigsaw ransomware version. Deletes files unless a victim pays up. Decryptable for free.
